,UTS Depot,Bus,Route,Run,Operator,Unscheduled PO ,Scheduled PO,Actual PO,PO Diff,PO Depot ,Scheduled PI,Actual PI,PI diff,Depot PI
224,CA,7003,S53,MISC-211,217205,,2024-01-06 08:10:00,2024-01-06 07:54:00,-00:15,CA,2024-01-06 13:09:00,2024-01-06 13:18:00,+00:09,CA
225,CA,7003,S53,MISC-264,809030,,2024-01-06 13:40:00,2024-01-06 13:44:00,+00:04,CA,2024-01-06 17:10:00,2024-01-06 17:07:00,-00:02,CA
226,CA,7003,S52,MISC-332,421049,,2024-01-06 17:15:00,2024-01-06 17:16:00,+00:01,CA,2024-01-06 21:41:00,,,
227,CA,7008,S48,S4898-63,12005,,2024-01-06 07:23:00,2024-01-06 07:21:00,-00:01,CA,2024-01-06 09:03:00,2024-01-06 08:56:00,-00:06,CA
228,CA,7008,S46,MISC-219,612046,,2024-01-06 08:55:00,2024-01-06 09:06:00,+00:11,CA,2024-01-06 13:41:00,2024-01-06 13:24:00,-00:16,CA
229,CA,7008,S40,MISC-277,185061,,2024-01-06 13:40:00,2024-01-06 13:38:00,-00:01,CA,2024-01-06 18:43:00,2024-01-06 18:47:00,+00:04,CA
230,CA,7008,S46,MISC-347,750154,,2024-01-06 19:10:00,2024-01-06 19:16:00,+00:06,CA,2024-01-07 00:39:00,,,
231,CA,7009,,MISC-348,125089,,2024-01-06 15:10:00,2024-01-06 15:16:00,+00:06,CA,2024-01-06 19:32:00,2024-01-06 19:22:00,-00:09,CA
232,CA,7010,S53,MISC-342,587131,,2024-01-06 14:40:00,2024-01-06 14:49:00,+00:09,CA,2024-01-06 20:12:00,2024-01-06 20:22:00,+00:10,CA
234,CA,7011,,MISC-233,327855,,2024-01-06 06:19:00,2024-01-06 06:31:00,+00:12,CA,2024-01-06 11:05:00,2024-01-06 10:53:00,-00:11,CA
235,CA,7011,S40,MISC-225,674137,,2024-01-06 11:15:00,2024-01-06 11:11:00,-00:03,CA,2024-01-06 14:09:00,2024-01-06 13:59:00,-00:09,CA
236,CA,7011,S40,MISC-271,7068,,2024-01-06 14:10:00,2024-01-06 14:08:00,-00:01,CA,2024-01-06 18:39:00,2024-01-07 00:46:00,+06:07,CA
237,CA,7017,,MISC-204,398033,,2024-01-06 01:10:00,,,,2024-01-06 05:43:00,2024-01-06 05:32:00,-00:10,CA
238,CA,7017,S53,MISC-224,862708,,2024-01-06 05:45:00,2024-01-06 05:59:00,+00:14,CA,2024-01-06 09:18:00,2024-01-06 09:20:00,+00:02,CA
239,CA,7017,S53,MISC-242,247068,,2024-01-06 12:45:00,2024-01-06 12:52:00,+00:07,CA,2024-01-06 18:37:00,,,
240,CA,7017,,MISC-385,362003,,2024-01-06 17:10:00,,,,2024-01-06 22:00:00,,,
241,CA,7018,,S4898-64,57105,,2024-01-06 08:53:00,2024-01-06 09:02:00,+00:09,CA,2024-01-06 12:41:00,2024-01-06 12:58:00,+00:17,CA
242,CA,7018,S48,MISC-263,471061,,2024-01-06 13:10:00,2024-01-06 13:11:00,+00:01,CA,2024-01-06 17:35:00,2024-01-06 17:32:00,-00:02,CA
243,CA,7018,S46,MISC-335,29174,,2024-01-06 17:40:00,2024-01-06 18:10:00,+00:30,CA,2024-01-06 22:30:00,2024-01-06 22:27:00,-00:02,CA
245,CA,7022,S46,MISC-213,426125,,2024-01-06 04:40:00,2024-01-06 04:12:00,-00:27,CA,2024-01-06 09:06:00,2024-01-06 09:02:00,-00:03,CA
246,CA,7022,S53,MISC-265,76026,,2024-01-06 09:08:00,2024-01-06 09:14:00,+00:06,CA,2024-01-06 14:39:00,2024-01-06 13:56:00,-00:42,CA
247,CA,7028,,MISC-242,247068,,2024-01-06 06:49:00,2024-01-06 06:54:00,+00:05,CA,2024-01-06 12:05:00,2024-01-06 12:06:00,+00:01,CA
249,CA,7028,S53,S53-97,10691,,2024-01-06 18:31:00,2024-01-06 18:36:00,+00:05,CA,2024-01-06 22:01:00,2024-01-06 22:00:00,-00:00,CA
250,CA,7029,,MISC-258,297855,,2024-01-06 14:23:00,2024-01-06 14:30:00,+00:07,CA,2024-01-06 16:18:00,2024-01-06 16:26:00,+00:08,CA
251,CA,7029,S51,S5181-84,494076,,2024-01-06 16:40:00,2024-01-06 16:36:00,-00:03,CA,2024-01-06 21:30:00,2024-01-06 21:38:00,+00:08,CA
252,CA,7029,,MISC-384,347058,,2024-01-06 22:08:00,,,,2024-01-07 01:12:00,,,
253,CA,7030,S40,S4090-19,726134,,2024-01-06 16:04:00,2024-01-06 16:00:00,-00:03,CA,2024-01-06 20:14:00,2024-01-07 00:25:00,+04:11,CA
254,CA,7030,,S4090-19,726134,,2024-01-06 20:55:00,,,,2024-01-07 00:29:00,,,
255,CA,7035,S53,MISC-260,913094,,2024-01-06 13:08:00,2024-01-06 13:05:00,-00:03,CA,2024-01-06 16:54:00,2024-01-06 22:44:00,+05:50,CA
256,CA,7035,S40,MISC-352,761153,,2024-01-06 23:40:00,2024-01-06 23:44:00,+00:04,CA,2024-01-07 01:37:00,2024-01-07 01:36:00,-00:00,CA
257,CA,7043,S52,MISC-237,432080,,2024-01-06 06:30:00,2024-01-06 06:39:00,+00:09,CA,2024-01-06 10:01:00,2024-01-06 09:55:00,-00:05,CA
258,CA,7043,S48,S4898-63,12005,,2024-01-06 10:08:00,2024-01-06 10:07:00,-00:00,CA,2024-01-06 15:54:00,2024-01-06 15:54:00,+00:00,CA
259,CA,7043,S46,MISC-363,782064,,2024-01-06 16:10:00,2024-01-06 16:11:00,+00:01,CA,2024-01-06 19:42:00,2024-01-06 19:45:00,+00:03,CA
260,CA,7048,,MISC-217,716078,,2024-01-06 05:10:00,2024-01-06 05:23:00,+00:13,CA,2024-01-06 09:36:00,2024-01-06 09:29:00,-00:06,CA
261,CA,7048,,MISC-290,189133,,2024-01-06 12:10:00,2024-01-06 12:09:00,-00:00,CA,2024-01-06 16:34:00,2024-01-06 16:20:00,-00:13,CA
262,CA,7048,,MISC-378,705029,,2024-01-06 16:41:00,2024-01-06 16:44:00,+00:03,CA,2024-01-06 22:05:00,2024-01-06 22:01:00,-00:03,CA
263,CA,7048,S53,MISC-372,304195,,2024-01-06 23:55:00,2024-01-06 23:54:00,-00:00,CA,2024-01-07 01:31:00,2024-01-07 01:11:00,-00:19,CA
264,CA,7051,,MISC-366,227016,,2024-01-06 16:15:00,,,,2024-01-06 20:02:00,,,
265,CA,7051,,MISC-366,227016,,2024-01-06 20:42:00,,,,2024-01-07 00:36:00,,,
266,CA,7052,,MISC-266,832138,,2024-01-06 09:10:00,2024-01-06 09:18:00,+00:08,CA,2024-01-06 11:24:00,2024-01-06 11:24:00,+00:00,CA
267,CA,7052,,MISC-247,981039,,2024-01-06 11:53:00,2024-01-06 11:56:00,+00:03,CA,2024-01-06 16:36:00,2024-01-06 16:49:00,+00:13,CA
268,CA,7063,S53,S53-92,782038,,2024-01-06 07:35:00,2024-01-06 07:38:00,+00:03,CA,2024-01-06 13:19:00,2024-01-06 13:14:00,-00:04,CA
271,CA,7064,,MISC-207,222032,,2024-01-06 04:10:00,,,,2024-01-06 07:54:00,,,
272,CA,7064,S40,MISC-207,117023,,2024-01-06 04:10:00,2024-01-06 04:16:00,+00:06,CA,2024-01-06 07:54:00,2024-01-06 07:57:00,+00:03,CA
273,CA,7064,S40,MISC-221,164486,,2024-01-06 08:40:00,2024-01-06 08:44:00,+00:04,CA,2024-01-06 13:38:00,2024-01-06 13:41:00,+00:03,CA
276,CA,7066,S53,MISC-225,674137,,2024-01-06 05:49:00,2024-01-06 05:35:00,-00:13,CA,2024-01-06 10:35:00,2024-01-06 10:20:00,-00:14,CA
277,CA,7066,S76,S7686-140,662150,,2024-01-06 10:40:00,2024-01-06 10:40:00,+00:00,CA,2024-01-06 13:05:00,2024-01-06 13:00:00,-00:04,CA
278,CA,7066,,MISC-266,832138,,2024-01-06 13:10:00,2024-01-06 13:10:00,+00:00,CA,2024-01-06 18:06:00,2024-01-06 18:08:00,+00:02,CA
279,CA,7066,S48,MISC-349,761195,,2024-01-06 20:56:00,2024-01-06 21:04:00,+00:08,CA,2024-01-07 00:12:00,2024-01-06 22:15:00,-01:56,CA
280,CA,7073,S48,MISC-262,222045,,2024-01-06 08:40:00,2024-01-06 08:42:00,+00:02,CA,2024-01-06 13:26:00,2024-01-06 13:32:00,+00:06,CA
281,CA,7073,,MISC-262,222045,,2024-01-06 14:10:00,2024-01-06 14:15:00,+00:05,CA,2024-01-06 16:35:00,2024-01-06 16:41:00,+00:06,CA
282,CA,7073,S48,MISC-382,722081,,2024-01-06 16:56:00,2024-01-06 16:53:00,-00:02,CA,2024-01-06 22:20:00,2024-01-06 22:17:00,-00:02,CA
284,CA,7075,,MISC-215,750147,,2024-01-06 05:00:00,,,,2024-01-06 18:13:00,,,
285,CA,7075,S53,MISC-230,327271,,2024-01-06 06:09:00,2024-01-06 06:11:00,+00:02,CA,2024-01-06 23:16:00,2024-01-06 09:51:00,-13:24,CA
286,CA,7075,S53,MISC-282,29189,,2024-01-06 11:39:00,2024-01-06 11:39:00,+00:00,CA,2024-01-06 23:01:00,2024-01-06 15:44:00,-07:16,CA
287,CA,7078,,MISC-349,761195,,2024-01-06 15:15:00,,,,2024-01-06 20:16:00,,,
288,CA,7087,,MISC-264,809030,,2024-01-06 09:05:00,2024-01-06 09:12:00,+00:07,CA,2024-01-06 12:59:00,2024-01-06 12:51:00,-00:07,CA
289,CA,7087,,MISC-331,906108,,2024-01-06 13:05:00,2024-01-06 13:16:00,+00:11,CA,2024-01-06 20:46:00,2024-01-06 20:42:00,-00:03,CA
290,CA,7088,S46,MISC-214,691179,,2024-01-06 04:45:00,2024-01-06 04:44:00,-00:00,CA,2024-01-06 19:55:00,2024-01-06 16:20:00,-03:34,CA
291,CA,7088,S53,MISC-373,714054,,2024-01-06 16:40:00,2024-01-06 16:35:00,-00:04,CA,2024-01-06 22:10:00,2024-01-06 22:03:00,-00:06,CA
293,CA,7089,S53,MISC-253,881125,,2024-01-06 07:43:00,2024-01-06 07:34:00,-00:08,CA,2024-01-06 11:25:00,2024-01-06 11:20:00,-00:04,CA
294,CA,7089,,MISC-329,552123,,2024-01-06 12:40:00,2024-01-06 12:50:00,+00:10,CA,2024-01-06 16:14:00,2024-01-06 16:05:00,-00:08,CA
295,CA,7089,S48,MISC-372,304195,,2024-01-06 16:40:00,2024-01-06 16:39:00,-00:00,CA,2024-01-06 22:20:00,2024-01-06 22:06:00,-00:13,CA
297,CA,8189,,MISC-206,359026,,2024-01-06 04:08:00,2024-01-06 04:12:00,+00:04,CA,2024-01-06 06:58:00,2024-01-06 12:35:00,+05:37,CA
298,CA,8189,,MISC-206,359026,,2024-01-06 08:10:00,,,,2024-01-06 12:34:00,,,
299,CA,8189,S51,MISC-254,377057,,2024-01-06 12:40:00,2024-01-06 12:40:00,+00:00,CA,2024-01-06 17:40:00,2024-01-06 17:42:00,+00:02,CA
300,CA,8189,S40,MISC-388,273114,,2024-01-06 21:55:00,2024-01-06 21:49:00,-00:05,CA,2024-01-07 01:29:00,2024-01-07 01:27:00,-00:01,CA
301,CA,8203,S48,S4898-60,693155,,2024-01-06 00:08:00,2024-01-06 00:13:00,+00:05,CA,2024-01-06 05:20:00,2024-01-06 05:09:00,-00:10,CA
302,CA,8203,S48,S4898-60,693155,,2024-01-06 06:08:00,2024-01-06 08:25:00,+02:17,CA,2024-01-06 09:18:00,2024-01-06 16:32:00,+07:14,CA
303,CA,8203,S40,MISC-374,282071,,2024-01-06 16:40:00,2024-01-06 16:38:00,-00:01,CA,2024-01-06 22:29:00,2024-01-06 22:36:00,+00:07,CA
304,CA,8203,,MISC-374,282071,,2024-01-06 23:10:00,,,,2024-01-07 00:51:00,,,
305,CA,8203,S40,MISC-210,5824,,2024-01-06 08:25:00,2024-01-06 23:14:00,+14:49,CA,2024-01-07 00:29:00,2024-01-07 00:44:00,+00:15,CA
307,CA,8207,,MISC-352,761153,,2024-01-06 15:40:00,2024-01-06 15:48:00,+00:08,CA,2024-01-06 21:29:00,2024-01-06 21:32:00,+00:03,CA
308,CA,8209,S46,MISC-214,691179,,2024-01-06 08:55:00,2024-01-06 08:32:00,-00:22,CA,2024-01-07 00:05:00,2024-01-07 00:10:00,+00:05,CA
309,CA,8210,,S4696-48,71013,,2024-01-06 06:53:00,,,,2024-01-06 22:03:00,,,
310,CA,8212,,S4696-44,618065,,2024-01-06 08:18:00,2024-01-06 08:30:00,+00:12,CA,2024-01-06 20:37:00,2024-01-06 20:29:00,-00:07,CA
311,CA,8212,,S53-99,72067,,2024-01-06 20:46:00,,,,2024-01-07 00:11:00,,,
314,CA,8215,,MISC-212,693096,,2024-01-06 04:40:00,,,,2024-01-06 08:27:00,,,
315,CA,8215,,MISC-232,613032,,2024-01-06 06:20:00,2024-01-06 06:26:00,+00:06,CA,2024-01-06 12:09:00,2024-01-06 12:24:00,+00:15,CA
317,CA,8216,S51,S5181-80,555055,,2024-01-06 00:40:00,2024-01-06 00:40:00,+00:00,CA,2024-01-06 05:08:00,2024-01-06 08:33:00,+03:25,CA
318,CA,8216,,S5181-80,555055,,2024-01-06 05:57:00,,,,2024-01-06 08:34:00,,,
319,CA,8216,,MISC-227,714033,,2024-01-06 09:40:00,2024-01-06 09:44:00,+00:04,CA,2024-01-06 14:04:00,2024-01-06 14:04:00,+00:00,CA
320,CA,8216,S48,S4898-64,57105,,2024-01-06 13:23:00,2024-01-06 14:14:00,+00:51,CA,2024-01-06 17:17:00,2024-01-06 17:15:00,-00:01,CA
321,CA,8222,,MISC-216,584009,,2024-01-06 05:10:00,,,,2024-01-06 08:29:00,,,
322,CA,8222,,MISC-216,584009,,2024-01-06 09:10:00,,,,2024-01-06 13:34:00,,,
323,CA,8222,S40,MISC-381,385103,,2024-01-06 21:40:00,,,,2024-01-07 01:00:00,2024-01-06 01:01:00,+00:01,CA
324,CA,8224,S48,MISC-248,455017,,2024-01-06 07:08:00,2024-01-06 07:13:00,+00:05,CA,2024-01-06 12:26:00,2024-01-06 12:53:00,+00:27,CA
325,CA,8224,S53,MISC-248,455017,,2024-01-06 13:10:00,2024-01-06 13:04:00,-00:05,CA,2024-01-06 15:34:00,2024-01-06 15:29:00,-00:04,CA
327,CA,8225,,MISC-202,334128,,2024-01-06 00:25:00,,,,2024-01-06 04:36:00,,,
328,CA,8225,,MISC-222,871065,,2024-01-06 05:38:00,,,,2024-01-06 10:24:00,,,
329,CA,8225,,MISC-275,104406,,2024-01-06 10:10:00,,,,2024-01-06 14:36:00,,,
330,CA,8225,,MISC-275,104406,,2024-01-06 15:16:00,,,,2024-01-06 18:17:00,,,
331,CA,8225,,MISC-336,756366,,2024-01-06 20:01:00,,,,2024-01-06 21:46:00,,,
333,CA,8227,,MISC-208,82035,,2024-01-06 04:28:00,2024-01-06 04:35:00,+00:07,CA,2024-01-06 07:22:00,2024-01-06 13:01:00,+05:39,CA
334,CA,8227,,MISC-208,82035,,2024-01-06 08:10:00,,,,2024-01-06 13:08:00,,,
336,CA,8229,S40,MISC-256,564071,,2024-01-06 12:40:00,2024-01-06 12:50:00,+00:10,CA,2024-01-06 17:05:00,2024-01-06 17:11:00,+00:06,CA
337,CA,8231,S53,MISC-246,39127,,2024-01-06 06:59:00,2024-01-06 07:21:00,+00:22,CA,2024-01-06 18:29:00,2024-01-06 18:25:00,-00:03,CA
338,CA,8234,S53,MISC-210,5824,,2024-01-06 04:30:00,2024-01-06 04:32:00,+00:02,CA,2024-01-06 07:44:00,2024-01-06 07:45:00,+00:01,CA
339,CA,8234,S51,MISC-267,925017,,2024-01-06 09:10:00,2024-01-06 08:41:00,-00:28,CA,2024-01-06 14:08:00,2024-01-06 14:00:00,-00:07,CA
340,CA,8234,S53,MISC-344,587125,,2024-01-06 14:49:00,2024-01-06 14:45:00,-00:03,CA,2024-01-06 22:16:00,2024-01-06 22:12:00,-00:03,CA
342,CA,8237,,MISC-246,39127,,2024-01-06 06:59:00,,,,2024-01-06 18:29:00,,,
343,CA,8237,,MISC-278,758037,,2024-01-06 10:51:00,,,,2024-01-06 14:53:00,,,
345,CA,8243,S53,MISC-218,179023,,2024-01-06 05:15:00,2024-01-06 05:18:00,+00:03,CA,2024-01-06 08:58:00,2024-01-06 08:51:00,-00:06,CA
347,CA,8245,,S53-91,135083,,2024-01-06 01:22:00,2024-01-06 01:24:00,+00:02,CA,2024-01-06 05:24:00,2024-01-06 09:47:00,+04:23,CA
348,CA,8245,,S53-91,135083,,2024-01-06 06:19:00,,,,2024-01-06 09:50:00,,,
349,CA,8245,S53,MISC-228,244018,,2024-01-06 09:49:00,2024-01-06 09:56:00,+00:07,CA,2024-01-06 17:49:00,2024-01-06 12:30:00,-05:18,CA
351,CA,8246,,MISC-233,327855,,2024-01-06 11:48:00,,,,2024-01-06 21:02:00,,,
352,CA,8246,S51,S5181-84,494076,,2024-01-06 22:10:00,2024-01-06 21:53:00,-00:16,CA,2024-01-07 01:30:00,2024-01-07 01:44:00,+00:14,CA
355,CA,8249,S53,MISC-215,662156,,2024-01-06 05:00:00,2024-01-06 05:07:00,+00:07,CA,2024-01-06 18:13:00,2024-01-06 20:38:00,+02:25,CA
357,CA,8251,S53,S53-94,552063,,2024-01-06 08:55:00,2024-01-06 08:53:00,-00:01,CA,2024-01-06 12:39:00,2024-01-06 12:36:00,-00:02,CA
358,CA,8251,S53,S53-94,552063,,2024-01-06 13:21:00,2024-01-06 13:15:00,-00:05,CA,2024-01-06 22:46:00,2024-01-06 17:36:00,-05:09,CA
359,CA,8251,S51,MISC-387,115053,,2024-01-06 21:10:00,2024-01-06 23:34:00,+02:24,CA,2024-01-07 01:25:00,2024-01-07 01:15:00,-00:09,CA
360,CA,8253,,S53-90,714047,,2024-01-06 00:42:00,,,,2024-01-06 04:42:00,,,
361,CA,8253,S53,S53-90,714047,,2024-01-06 05:30:00,,,,2024-01-06 09:08:00,2024-01-06 09:02:00,-00:05,CA
362,CA,8253,S53,MISC-270,899122,,2024-01-06 09:15:00,2024-01-06 09:12:00,-00:02,CA,2024-01-06 17:17:00,2024-01-06 15:25:00,-01:51,CA
364,CA,8255,S46,MISC-234,484052,,2024-01-06 06:23:00,2024-01-06 06:26:00,+00:03,CA,2024-01-07 00:40:00,2024-01-06 14:14:00,-10:25,CA
366,CA,8256,S46,S4696-41,895047,,2024-01-06 23:58:00,2024-01-06 23:44:00,-00:13,CA,2024-01-07 04:53:00,2024-01-07 09:04:00,+04:11,CA
367,CA,8256,,S4696-41,895047,,2024-01-06 05:53:00,,,,2024-01-06 08:52:00,,,
368,CA,8256,,MISC-229,761172,,2024-01-06 10:10:00,2024-01-06 10:12:00,+00:02,CA,2024-01-06 14:54:00,2024-01-06 14:48:00,-00:05,CA
369,CA,8256,,MISC-355,347052,,2024-01-06 15:40:00,,,,2024-01-06 19:15:00,,,
370,CA,8256,S40,MISC-347,750154,,2024-01-06 15:02:00,2024-01-06 15:40:00,+00:38,CA,2024-01-06 17:06:00,2024-01-07 00:42:00,+07:36,CA
371,CA,8256,,MISC-355,347052,,2024-01-06 19:56:00,,,,2024-01-07 00:42:00,,,
373,CA,8257,,MISC-243,733024,,2024-01-06 06:49:00,,,,2024-01-06 20:06:00,,,
374,CA,8258,S53,MISC-255,5494,,2024-01-06 07:51:00,2024-01-06 07:46:00,-00:04,CA,2024-01-06 11:33:00,2024-01-06 11:24:00,-00:08,CA
376,CA,8300,,MISC-201,282015,,2024-01-06 23:55:00,2024-01-06 00:06:00,+00:11,CA,2024-01-07 05:36:00,2024-01-06 04:45:00,-00:50,CA
377,CA,8300,S40,S4090-4,525104,,2024-01-06 05:25:00,2024-01-06 05:28:00,+00:03,CA,2024-01-06 08:14:00,2024-01-06 09:41:00,+01:27,CA
378,CA,8300,S40,S4090-4,525104,,2024-01-06 09:45:00,2024-01-06 10:29:00,+00:44,CA,2024-01-06 14:39:00,2024-01-06 14:42:00,+00:03,CA
380,CA,8300,S53,MISC-386,241048,,2024-01-06 17:10:00,2024-01-06 17:14:00,+00:04,CA,2024-01-06 22:36:00,2024-01-06 23:02:00,+00:26,CA
381,CA,8319,,S4696-44,618065,,2024-01-06 03:28:00,,,,2024-01-06 07:52:00,,,
382,CA,8319,,MISC-258,297855,,2024-01-06 08:13:00,,,,2024-01-06 13:36:00,,,
383,CA,8319,S53,MISC-336,756366,,2024-01-06 13:40:00,,,,2024-01-06 19:16:00,2024-01-06 19:11:00,-00:04,CA
388,CA,8325,S53,MISC-368,149085,,2024-01-06 16:16:00,2024-01-06 16:17:00,+00:01,CA,2024-01-06 21:45:00,2024-01-06 21:41:00,-00:03,CA
389,CA,8326,,S4696-40,727629,,2024-01-06 23:40:00,,,,2024-01-07 03:53:00,,,
390,CA,8326,,S4696-40,727629,,2024-01-06 04:40:00,,,,2024-01-06 06:52:00,,,
391,CA,8326,S46,MISC-250,634037,,2024-01-06 07:23:00,2024-01-06 07:27:00,+00:04,CA,2024-01-06 18:06:00,2024-01-06 11:50:00,-06:15,CA
392,CA,8326,S46,S4696-48,71013,,2024-01-06 11:55:00,2024-01-06 11:54:00,-00:00,CA,2024-01-07 00:01:00,2024-01-07 01:35:00,+01:34,CA
394,CA,8327,S46,MISC-239,922023,,2024-01-06 06:41:00,2024-01-06 06:38:00,-00:02,CA,2024-01-06 20:47:00,2024-01-06 06:41:00,-14:05,CA
396,CA,8400,,S4090-7,176041,,2024-01-06 06:30:00,,,,2024-01-06 08:39:00,,,
397,CA,8695,S48,S4898-61,668065,,2024-01-06 00:38:00,2024-01-06 00:41:00,+00:03,CA,2024-01-06 05:50:00,2024-01-06 09:16:00,+03:26,CA
398,CA,8695,,S4898-61,668065,,2024-01-06 06:38:00,,,,2024-01-06 09:14:00,,,
399,CA,8695,S40,S4090-7,176041,,2024-01-06 10:40:00,2024-01-06 10:53:00,+00:13,CA,2024-01-06 15:59:00,2024-01-06 16:11:00,+00:12,CA
400,CA,8700,,S4898-62,964411,,2024-01-06 01:08:00,,,,2024-01-06 04:12:00,,,
401,CA,8700,,S4898-62,964411,,2024-01-06 05:08:00,,,,2024-01-06 10:31:00,,,
402,CA,8700,,MISC-241,67088,,2024-01-06 10:40:00,,,,2024-01-06 15:04:00,,,
403,CA,8700,,MISC-351,722069,,2024-01-06 15:38:00,,,,2024-01-06 21:05:00,,,
404,CA,8700,,MISC-351,722069,,2024-01-06 21:45:00,,,,2024-01-07 00:06:00,,,
406,CA,8707,S46,MISC-341,12184,,2024-01-06 14:38:00,2024-01-06 14:41:00,+00:03,CA,2024-01-06 20:05:00,2024-01-06 20:00:00,-00:04,CA
407,CA,8714,S46,S4696-42,671017,,2024-01-06 00:10:00,,,,2024-01-06 05:07:00,2024-01-06 05:15:00,+00:08,CA
408,CA,8714,,S4696-47,592020,,2024-01-06 05:23:00,,,,2024-01-06 12:10:00,,,
409,CA,8714,S46,S4696-47,421042,,2024-01-06 05:23:00,2024-01-06 05:25:00,+00:02,CA,2024-01-06 12:10:00,2024-01-06 12:02:00,-00:07,CA
410,CA,8714,S40,MISC-287,11268,,2024-01-06 12:10:00,2024-01-06 12:21:00,+00:11,CA,2024-01-06 16:24:00,2024-01-06 16:23:00,-00:00,CA
411,CA,8714,S46,MISC-377,398033,,2024-01-06 16:40:00,2024-01-06 16:39:00,-00:00,CA,2024-01-06 20:17:00,2024-01-06 20:20:00,+00:03,CA
412,CA,8714,S46,MISC-377,398033,,2024-01-06 21:14:00,2024-01-06 20:33:00,-00:40,CA,2024-01-07 01:06:00,2024-01-07 01:03:00,-00:02,CA
413,CA,8716,,S7686-140,662150,,2024-01-06 15:40:00,,,,2024-01-06 21:11:00,,,
414,CA,8716,S53,MISC-378,705029,,2024-01-06 22:50:00,2024-01-06 23:00:00,+00:10,CA,2024-01-07 00:31:00,,,
415,CA,8718,S46,MISC-223,919161,,2024-01-06 05:40:00,2024-01-06 05:53:00,+00:13,CA,2024-01-06 11:03:00,2024-01-06 10:54:00,-00:08,CA
416,CA,8718,S76,MISC-251,662155,,2024-01-06 11:40:00,2024-01-06 11:39:00,-00:00,CA,2024-01-06 16:06:00,2024-01-06 16:04:00,-00:01,CA
417,CA,8718,S53,MISC-364,868033,,2024-01-06 16:10:00,2024-01-06 16:12:00,+00:02,CA,2024-01-06 21:41:00,2024-01-06 21:34:00,-00:06,CA
434,CH,1607,SIM4C,MISC-115,777126,,2024-01-06 06:10:00,2024-01-06 06:18:00,+00:08,CH,2024-01-06 10:07:00,2024-01-06 09:43:00,-00:23,CH
435,CH,1607,S78,MISC-118,518029,,2024-01-06 10:20:00,2024-01-06 10:26:00,+00:06,CH,2024-01-06 14:43:00,2024-01-06 14:23:00,-00:19,CH
436,CH,1609,SIM4C,SIM4-287,190070,,2024-01-06 05:30:00,2024-01-06 05:40:00,+00:10,CH,2024-01-06 09:06:00,2024-01-06 09:12:00,+00:06,CH
437,CH,1609,SIM4C,SIM4-287,190070,,2024-01-06 10:50:00,2024-01-06 10:55:00,+00:05,CH,2024-01-06 15:13:00,2024-01-06 14:59:00,-00:13,CH
438,CH,1609,SIM4C,MISC-148,276045,,2024-01-06 15:20:00,2024-01-06 15:19:00,-00:00,CH,2024-01-06 19:34:00,2024-01-06 19:27:00,-00:06,CH
439,CH,1611,,MISC-107,981024,,2024-01-06 07:50:00,,,,2024-01-06 12:11:00,,,
440,CH,1611,,MISC-124,176113,,2024-01-06 12:20:00,,,,2024-01-06 16:41:00,,,
441,CH,1611,,MISC-176,189149,,2024-01-06 17:10:00,,,,2024-01-06 21:09:00,,,
442,CH,1611,,MISC-194,658355,,2024-01-06 17:50:00,,,,2024-01-06 21:48:00,,,
443,CH,1618,SIM4C,SIM4-288,141059,,2024-01-06 07:30:00,2024-01-06 09:59:00,+02:29,CH,2024-01-06 11:51:00,2024-01-06 11:50:00,-00:00,CH
444,CH,1618,SIM4C,MISC-121,620049,,2024-01-06 12:00:00,2024-01-06 12:06:00,+00:06,CH,2024-01-06 16:23:00,2024-01-06 16:01:00,-00:21,CH
446,CH,1622,SIM4C,SIM4-276,521059,,2024-01-06 04:10:00,2024-01-06 04:18:00,+00:08,CH,2024-01-06 07:00:00,2024-01-06 06:21:00,-00:38,CH
447,CH,1622,,SIM4-276,521059,,2024-01-06 08:10:00,2024-01-06 08:01:00,-00:08,CH,2024-01-06 12:35:00,2024-01-06 12:11:00,-00:23,CH
448,CH,1622,SIM4C,MISC-130,266012,,2024-01-06 13:00:00,2024-01-06 13:03:00,+00:03,CH,2024-01-06 17:15:00,2024-01-06 17:29:00,+00:14,CH
449,CH,1622,S78,MISC-182,310031,,2024-01-06 18:10:00,2024-01-06 18:23:00,+00:13,CH,2024-01-06 22:08:00,2024-01-06 22:09:00,+00:01,CH
450,CH,1623,,MISC-112,130055,,2024-01-06 05:50:00,2024-01-06 05:52:00,+00:02,CH,2024-01-06 09:37:00,2024-01-06 09:21:00,-00:15,CH
451,CH,1623,S78,MISC-114,109018,,2024-01-06 09:30:00,2024-01-06 09:35:00,+00:05,CH,2024-01-06 14:03:00,2024-01-06 13:34:00,-00:28,CH
452,CH,1623,S74,MISC-191,772028,,2024-01-06 16:40:00,2024-01-06 16:31:00,-00:08,CH,2024-01-06 20:50:00,2024-01-06 20:56:00,+00:06,CH
453,CH,1625,S78,MISC-116,913126,,2024-01-06 06:30:00,2024-01-06 06:37:00,+00:07,CH,2024-01-06 10:40:00,2024-01-06 10:07:00,-00:32,CH
454,CH,1625,SIM4C,SIM4-288,141059,,2024-01-06 13:20:00,2024-01-06 13:23:00,+00:03,CH,2024-01-06 17:34:00,2024-01-06 17:53:00,+00:19,CH
