,UTS Depot,Bus,Route,Run,Operator,Unscheduled PO ,Scheduled PO,Actual PO,PO Diff,PO Depot ,Scheduled PI,Actual PI,PI diff,Depot PI
6678,MV,9860,M3,M03-302,29039,,2024-01-06 05:34:00,2024-01-06 05:32:00,-00:01,MV,2024-01-07 00:34:00,,,
6679,MV,9860,,M03-302,48080,,2024-01-06 05:34:00,,,,2024-01-07 00:34:00,,,
6680,MV,9862,,M05-509,40035,,2024-01-06 07:15:00,,,,2024-01-07 00:31:00,,,
6681,MV,9868,M4,M04-410,45465,,2024-01-06 07:23:00,2024-01-06 07:32:00,+00:09,MV,2024-01-06 18:39:00,,,
6683,MV,9869,M4,M05-527,28049,,2024-01-06 10:18:00,2024-01-06 10:27:00,+00:09,MV,2024-01-07 02:25:00,,,
6684,MV,9870,,M05-517,284082,,2024-01-06 08:15:00,,,,2024-01-07 01:13:00,,,
6686,MV,9871,M116,M116-706,46264,,2024-01-06 09:16:00,2024-01-06 09:14:00,-00:01,MV,2024-01-06 20:34:00,,,
6687,MV,9875,,M96-806,44212,,2024-01-06 07:52:00,,,,2024-01-06 20:09:00,,,
6688,MV,9875,,M96-810,44446,,2024-01-06 09:57:00,,,,2024-01-07 01:32:00,,,
6689,MV,9877,,M02-211,45996,,2024-01-06 07:59:00,,,,2024-01-07 01:22:00,,,
6693,MV,9879,,M104-132,38778,,2024-01-06 14:21:00,,,,2024-01-06 21:38:00,,,
6694,MV,9879,,M104-132,29039,,2024-01-06 14:21:00,,,,2024-01-06 21:38:00,,,
6697,MV,9880,M104,M104-135,47226,,2024-01-06 15:01:00,2024-01-06 17:34:00,+02:33,AM,2024-01-07 00:19:00,2024-01-06 22:09:00,-02:09,AM
6699,MV,9887,,M11-601,35355,,2024-01-06 05:25:00,2024-01-06 05:32:00,+00:07,MV,2024-01-06 22:57:00,2024-01-06 18:01:00,-04:56,AM
6701,MV,9888,,M10-3,46510,,2024-01-06 06:00:00,,,,2024-01-06 19:49:00,,,
6703,MV,9890,M10,M10-10,30772,,2024-01-06 09:53:00,2024-01-06 10:02:00,+00:09,MV,2024-01-07 01:17:00,,,
6704,MV,9891,,M11-605,43258,,2024-01-06 05:58:00,,,,2024-01-06 21:28:00,,,
6705,MV,9892,,M03-308,32985,,2024-01-06 06:56:00,,,,2024-01-06 23:12:00,,,
6706,MV,9893,M4,M04-409,40392,,2024-01-06 07:11:00,2024-01-06 07:19:00,+00:08,MV,2024-01-06 18:20:00,,,
6708,MV,9894,M104,M104-118,38135,,2024-01-06 09:36:00,2024-01-06 09:46:00,+00:10,AM,2024-01-06 16:42:00,2024-01-06 14:14:00,-02:27,AM
6710,MV,9895,,M66-956,919227,,2024-01-06 09:32:00,,,,2024-01-06 22:54:00,,,
6711,MV,9896,M104,M104-101,289163,,2024-01-06 23:07:00,2024-01-06 01:13:00,+02:06,AM,2024-01-07 07:57:00,2024-01-06 02:18:00,-05:38,AM
6715,MV,9896,M104,M04-444,45151,,2024-01-06 14:30:00,,,,2024-01-07 00:58:00,2024-01-06 00:56:00,-00:01,AM
6717,MV,9897,,M104-133,47224,,2024-01-06 14:41:00,,,,2024-01-07 00:00:00,,,
6718,MV,9900,,M05-502,750121,,2024-01-06 05:05:00,,,,2024-01-06 19:10:00,,,
6719,MV,9901,,M96-808,302011,,2024-01-06 08:40:00,,,,2024-01-06 19:02:00,,,
6720,MV,9902,,M02-204,40541,,2024-01-06 05:21:00,,,,2024-01-06 08:13:00,,,
6721,MV,9902,,M02-204,40541,,2024-01-06 09:20:00,,,,2024-01-06 21:50:00,,,
6722,MV,9903,,M116-701,669012,,2024-01-06 06:20:00,,,,2024-01-06 23:12:00,,,
6724,MV,9905,M3,M03-314,45720,,2024-01-06 10:42:00,2024-01-06 10:41:00,-00:01,MV,2024-01-06 20:48:00,,,
6726,MV,9906,M4,M04-405,40507,,2024-01-06 11:04:00,2024-01-06 11:04:00,+00:00,MV,2024-01-06 22:39:00,2024-01-06 20:37:00,-02:01,AM
6727,MV,9906,,M104-145,269069,,2024-01-06 15:56:00,,,,2024-01-06 22:54:00,,,
6730,MV,9907,M11,M11-612,45467,,2024-01-06 07:09:00,2024-01-06 07:04:00,-00:04,MV,2024-01-07 02:10:00,2024-01-06 12:53:00,-13:16,AM
6732,MV,9908,,M11-611,642063,,2024-01-06 06:38:00,,,,2024-01-07 01:41:00,,,
6734,MV,9909,M104,M104-119,43366,,2024-01-06 09:53:00,2024-01-06 10:01:00,+00:08,AM,2024-01-06 17:00:00,2024-01-06 12:13:00,-04:46,AM
6738,MV,9910,M66,M66-954,44754,,2024-01-06 06:40:00,2024-01-06 06:46:00,+00:06,MV,2024-01-07 01:21:00,,,
